location,table_name,row_id,field_name,base_value_preview
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,222,content,"Born on December 10, 1815 in London as Augusta Ada Byron; mo"
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,223,content,She was frequently ill during her childhood.
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,224,content,"1827: From an early age, she was fascinated by machines and "
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,225,content,Early youth: Beginning of friendship with the mathematician 
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,226,content,1833: Beginning of a friendship and long-term working relati
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,227,content,"Acquaintance with the scientists Andrew Crosse, Sir David Br"
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,228,content,1835: Marriage to Baron William King (later Count of Lovelac
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,229,content,"1836, 1837, 1839: Birth of one daughter and two sons."
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,230,content,"1840s: various affairs with men, passionate participant in h"
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,231,content,1844: Review of the treatise “Research on Magnetism” by Baro
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,232,content,1848: Ada translated a French article about Charles Babbage'
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,233,content,27.11.1852 Ada Lovelace dies of cervical cancer.
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 1",component_text,234,content,"In 1975, the Pentagon commissioned the development of a univ"
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 2",component_text,235,content,Ada Lovelace's parents were as gifted as they were educated.
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 2",component_text,236,content,"Ada received PRIVATE LESSONS not only in French and music, b"
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 2",component_text,237,content,Poetry was nevertheless important to her. Lovelace often que
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 3",component_text,238,content,Ada Lovelace developed the ability for structured scientific
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 3",component_text,239,content,The collaboration with CHARLES BABBAGE proved formative. He 
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 3",component_text,240,content,She outlined a plan for how to calculate Bernoulli numbers u
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 3",component_text,241,content,Babbage developed the Analytical Engine to make it easier to
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 3",component_text,242,content,"At the same time, Ada Lovelace reflected on the methods of s"
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 4",component_text,243,content,A painting by Henry Wyndham Phillips from 1852 depicts Ada L
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 4",component_text,244,content,Did the development of her analytical skills and the cultiva
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 5",component_text,245,content,Although Ada Lovelace lived in a privileged and secure envir
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 5",component_text,246,content,"Ada Lovelace suffered from the fact that marriage, household"
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 6",component_text,247,content,Ada Lovelace died alone and WITHOUT RECOGNITION of her extra
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 6",component_text,248,content,“That brain of mine is something more than merely mortal… As
"Module 'Pioneer of Computer Science - ADA LOVELACE ' (day 27), card 6",component_text,249,content,"In 1975, the US Department of Defense named the programming "
"Module '„I want to understand.“ - HANNAH ARENDT' (day 26), card 1",component_text,250,content,"Born in Hanover in 1906, she grew up in Königsberg (now Kali"
"Module '„I want to understand.“ - HANNAH ARENDT' (day 26), card 1",component_text,251,content,"1924–28: Studied philosophy, theology and classical philolog"
"Module '„I want to understand.“ - HANNAH ARENDT' (day 26), card 1",component_text,252,content,1928: Awarded a doctorate under Karl Jaspers on the concept 
"Module '„I want to understand.“ - HANNAH ARENDT' (day 26), card 1",component_text,253,content,1929: Research in Berlin on German Romanticism. Study ‘Rahel
"Module '„I want to understand.“ - HANNAH ARENDT' (day 26), card 1",component_text,254,content,"1933 Fled to Paris, where she worked to assist Jewish youths"
"Module '„I want to understand.“ - HANNAH ARENDT' (day 26), card 1",component_text,255,content,1940 Married Heinrich Blücher. Interned in a deportation cam
"Module '„I want to understand.“ - HANNAH ARENDT' (day 26), card 1",component_text,256,content,1941 Fled with her husband and mother  to New York. Worked i
