Category,Şirket,Adres,fk_country,Province,Town,Telefon,Category,Tag
"Araba Alım Satım","One Cars","Chaussée de Bruxelles 82, Dampremy Charleroi, Henegouwen, Belçika",1,2,304,"+32 473 56 75 25",8,9
"Araba Alım Satım","Dream Cars","Chaussée de Châtelineau 266, Montignies-sur-Sambre Charleroi, Henegouwen, Belçika",1,8,363,"+32 476 61 84 62",8,9
"Araba Alım Satım","Auto 38","Rue des Bluets 15, 6030 Charleroi, Henegouwen, Belçika",1,8,363,"+32 485 261 791",8,9
"Araba Alım Satım","Bel Auto","Rue Saint-Roch 68, 5640 Biesme, Namen, Belçika",1,1,570,"+32 71 77 13 00",8,9
"Araba Alım Satım","B.M CARS","Rue de Fosses 145, 5060 Arsimont, Namen, Belçika",1,1,570,"+32 492 57 22 42",8,9
"Araba Alım Satım","Auto Panama","Rue des Sablières 260, Châtelet, Henegouwen, Belçika",1,8,364,"+32 476 27 33 98",8,9
"Araba Alım Satım","AE Cars","Chaussée de Fleurus 164, Gilly Charleroi, Henegouwen, Belçika",1,8,363,"+32 471 402 590",8,9
"Araba Alım Satım","Autohandel Yener","Denen 95, Lochristi, Oost Vlaanderen, Belçika",1,4,144,"+32 484 86 38 56",8,9
"Araba Alım Satım","GARAGE BERHAN","Rue de Robiano 7, 1030 Schaerbeek, Brussels, Belçika",1,2,312,"+32 476 26 21 82",8,9
"Araba Alım Satım","Gezer Car","Route du Condroz 309, Nandrin, Liège, Belçika",1,9,468,"+32 4 239 00 06",8,9
"Araba Alım Satım","Aymaz Auto","Chaussée de Bruxelles 371, Jumet 6040 Charleroi, Henegouwen",1,2,304,"+32(0)484 91 51 51",8,9
"Araba Alım Satım","Garage Mister Willy","Schijfstraat 12 - 14 2020, Antwerpen",1,1,3,"03 336 55 56",8,9
"Araba Alım Satım","Cagri Carcenter bvba","Br­usselsesteenweg 777, 9050 Gent, Belçika",1,4,130,"+32(0)484 91 51 51",8,9
"Araba Alım Satım","Garage Yilmaz","Kanaalstraat 206, Leopoldsburg, Oost Vlaanderen",1,4,97,"+32(0)484 91 51 51",8,9
"Araba Alım Satım","Mega Garage","Frans van Ryhovelaan 128, Gent, Oost Vlaanderen",1,4,130,"+32(0)484 91 51 51",8,9
"Araba Alım Satım","VB international","Rue Léopold I 149 Brussel, Brussel",1,2,304,"02 428 26 23",8,9
"Araba Alım Satım","Demir Murat","Rue du Pont de Wandre 43, Luik",1,9,,"04 370 20 20",8,9
"Araba Alım Satım","Karakilic motors","Rue de Gilly 395 Châtelet, Henegouwen",1,8,364,"+32(0)484 91 51 51",8,9
"Araba Alım Satım","Antwerp car services","Steynstraat 333-335, Antwerpen",1,1,3,"+32(0)484 91 51 51",8,9
"Araba Alım Satım","Temur bvba","Koolmijnlaan 40, Heusden-Zolder, Limburg",1,3,91,"011 571 747",8,9
"Araba Alım Satım","Auto Efe","Rue du Mayeur 133, Châtelet, Henegouwen",1,8,364,"+32(0)484 91 51 51",8,9
"Araba Alım Satım","Auto Style","Rue Jules Destrée 415 7390 Quaregnon, Henegouwen",1,8,407,"+32(0)484 91 51 51",8,9
"Araba Alım Satım","Kislali Euro Cars","Rue Jean Jaures 10 7350 Hensies, Henegouwen",1,8,386,"06 546 53 73",8,9
"Araba Alım Satım","Jet Cars","Afrikalaan 73, Gent, Oost Vlaanderen",1,4,130,"+32(0)484 91 51 51",8,9
